ID,MD5,Ransomware,Ransomware_Family
1,f6fa4051156b35d3a8c9261cb0128d70,1,Critroni
2,f18c4cc41fa26858c7ff4296d0049f80,1,Critroni
3,3478e753233c4163dc1b0b95133d4771,1,Critroni
4,cf16ca22fd93735ac9661cb7f9c2fb80,1,Critroni
5,371d47e47c1ff7170f60aba5af05c516,1,Critroni
6,b268ebf7a6891026d9445ef4fd9296de,1,Critroni
7,af9175cb56e41868c13c1ec836b09022,1,Critroni
8,1abff57e05629475c1a4fa86141f75cf,1,Critroni
9,f1e1e85fbb64962b57d11a2a76c05410,1,Critroni
10,be8fcbe796af1267a45b9cba4ed08335,1,Critroni
11,a571141acbb53620cf110300c9d91479,1,Critroni
12,74d139f94d1816238730aeabb9f417e0,1,Critroni
13,bf1358bbb18d9838029d95cb473a5310,1,Critroni
14,8f345ce2dd61f233c853d0e24d997dea,1,Critroni
15,7bba7ad57f3361c15d8a8a4677751ee0,1,Critroni
16,6c0f6ba313ee0c38c0fa654fa32c0433,1,Critroni
17,c4f8aabdd0643262d79c74241ce99c44,1,Critroni
18,c9a73c0e1824c7cd59e1d51ea0965830,1,Critroni
19,ffc2711a41e03adc2e68259fefac9b66,1,Critroni
20,ae3afeb126724115748795fafbda7930,1,Critroni
21,de25f04dedaffde1be47ef26dc9a8176,1,Critroni
22,0d62167f8b756574eafb95aee07cdab0,1,Critroni
23,ea05b4b7ae9dd69b8999bdb63cd96da0,1,Critroni
24,cabc2dc2dacb17cb2130d44d74d00ad0,1,Critroni
25,2b62cdb6bcec4bff47eff437e4fc46d3,1,Critroni
26,b9867d7e29d0bdb5a7f9fe2862b968b4,1,Critroni
27,668747469715bb5a3a2193b5a9e53310,1,Critroni
28,4bf9113536551d43218998d5302edb80,1,Critroni
29,4e6420b3ba52ea3796a54548797c2481,1,Critroni
30,7370a75e25492ffc33aaa0b3f93d4470,1,Critroni
31,d705393353550296d7359237fa40f330,1,Critroni
32,9c1838ff439bb5fdcf63db5a762fddab,1,Critroni
33,c8634ac9f76fe5d30fadb5fcc3b01128,1,Critroni
34,b34c55a73948ef1d328a89fb2487ee03,1,Critroni
35,93ef8824dbc6414137e382198ee8f090,1,Critroni
36,102c9d8d99c9f453053d1f49620df11f,1,Critroni
37,af5c1f3e9e99a6bed29378943e1b37cf,1,Critroni
38,f8b26df426b46725c7eac85e9af2d244,1,Critroni
39,6aab2e83ae1a8473a17111733779f6e0,1,Critroni
40,eb8dc28e206d59f3ac94a4783903c160,1,Critroni
41,95416ab3687c19d9041193fcc1deaf4e,1,Critroni
42,76c8e63537b48a723d48f29b8e794260,1,Critroni
43,8425b3882c6d776b23e7ae4bbd197649,1,Critroni
44,89ffe5ee83d897fe6b6a9a3e21556ed0,1,Critroni
45,94eec98b609c42ed2331d172fd288770,1,Critroni
46,523ec0348d94af33b57b8527bb006b03,1,Critroni
47,d23c1057bfe4f1aaaf5a5a5bc37bd061,1,Critroni
48,157fc8c3997984ef720a3751392fddfe,1,Critroni
49,8002e12ee374b2cb136757a46116244b,1,Critroni
50,baf1b78f5f42ff3142ca05c0c436bdc0,1,Critroni
51,12be6e7241d2503f31fae01046e88d68,1,CryptLocker
52,d5d010f8b2f145399a9638f457ff3990,1,CryptLocker
53,9d9de70e5d58094bd34c53ff52b18290,1,CryptLocker
54,72f82a67ca77ed29668e0ff9dfd37733,1,CryptLocker
55,e28ea9135eb096977e734a506a486aa0,1,CryptLocker
56,920256744075b2d2cffcfc5f62c7f2a9,1,CryptLocker
57,b38995b27c6bcc117fc74e452b65b2c1,1,CryptLocker
58,b552c103224ce78bd1f5e5962445dd80,1,CryptLocker
59,18da21337a68b2edf0abedc4a6cb6b0c,1,CryptLocker
60,e8b948f5bbcce8e8545c45174c7fd500,1,CryptLocker
61,e91b9cf9e93f58d9d7d8516a3468093b,1,CryptLocker
62,c1a2eef9cf84ebdbf9e3580796e11c8c,1,CryptLocker
63,8b0efd1759f66420392559c2c506cd6f,1,CryptLocker
64,fb6539238a7cd432ef3c01f3976dc101,1,CryptLocker
65,c962955075b09c3ca181067c248141b0,1,CryptLocker
66,b5ea1d90bbe8304a6234633478e9fd0d,1,CryptLocker
67,b223ef2e609b7b4a8138bd4c914e52d0,1,CryptLocker
68,d359c319165caa9dfbe6b78c83b58d60,1,CryptLocker
69,adfc311d80a2cedb63ef76c1c80e39a3,1,CryptLocker
70,dee8749f50aa8a4bc06154add4a71d70,1,CryptLocker
71,3398462231e58f8855c289cdc319f771,1,CryptLocker
72,35d60d43cc9e8261e92b77ce5f3e93cc,1,CryptLocker
73,c307986eda3b0319e8bdecb3010f841f,1,CryptLocker
74,12666b5054cc0cb62cf758736340c1bc,1,CryptLocker
75,3da6a0168ec0a7a2c55bd627cc76b830,1,CryptLocker
76,bd5eed8869652cb5bc0f3e363b987b70,1,CryptLocker
77,4256b43110d9bd870360824242288aab,1,CryptLocker
78,b38bad8e43b4deb6817a1cb4570b4bf0,1,CryptLocker
79,efd36aad32b3a16271c1f13e326a1bf9,1,CryptLocker
80,be611e896251a55fb88a8b38c987bb60,1,CryptLocker
81,bd6316d3e1e0e20ea312ce34c0083265,1,CryptLocker
82,6a60a270addbfad002914e5a5bc5ef0e,1,CryptLocker
83,e26da8bf616eacf2f9bc6f20d5fc7710,1,CryptLocker
84,dfb7d9770e1440d26e0e62fe968fda3b,1,CryptLocker
85,11ff8a8e9a643deff1dcf58e7e2fdf20,1,CryptLocker
86,bab69fc3ad499f871e74a4fad5238830,1,CryptLocker
87,76874ed83c4942f5a11937f53533a6c7,1,CryptLocker
88,72eeb1e5d2ee146b51e3919d7330ca20,1,CryptLocker
89,07ce95aeaab7fb4b6630ac576a98b883,1,CryptLocker
90,b296dbc7fecc0c4b65335236644e61b0,1,CryptLocker
