,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
0,4,84,121728,10,10,126576,4930,0,14,10,8,262144,16864,1024,0,1
1,4,84,19904,10,10,21312,252,18160,14,10,6,262144,16736,1040,0,1
2,4,84,97728,10,10,105792,1852,70592,14,10,7,262144,16736,1096,0,1
3,4,84,319776,10,10,374944,9208,312608,14,10,7,262144,16736,2072,0,1
4,4,84,197888,10,10,229024,112,187208,14,10,7,262144,16736,1328,0,1
5,1,28,4240,0,4,0,0,4096,8,0,3,1048576,256,8799820,0,1
6,4,84,64704,10,10,67632,404,57648,14,10,6,262144,16736,1072,0,1
7,1,28,59496,0,4,0,0,8192,48,0,3,1048576,34112,1064,0,1
8,4,84,401484,10,6,418800,3784,405504,12,10,7,1048576,16736,1952,0,1
9,4,84,56096,10,10,58544,108,42480,14,10,7,262144,16736,1016,0,1
10,4,84,24608,10,10,30816,328,22680,14,10,7,262144,16736,1072,0,1
11,4,84,19744,10,10,0,0,16656,14,10,6,524288,49504,2632,0,1
12,4,28,4832,6,6,0,0,4096,9,0,5,524288,33088,2632,0,1
13,4,84,27328,10,10,28784,164,24848,14,10,6,262144,16736,5624,0,1
14,4,28,4688,6,6,27616,164,4096,9,0,5,262144,320,5432,0,1
15,4,56,4352,6,6,393648,111,446464,12,0,6,262144,352,1760,0,1
16,1,84,12368,10,10,61024,286,73728,14,10,6,262144,16704,992,0,1
17,4,84,68096,10,10,72752,288,58960,14,10,7,262144,16736,992,0,1
18,1,28,4816,6,6,72464,286,4096,9,0,4,262144,320,992,0,1
19,4,28,5536,6,6,88432,286,4096,9,0,5,262144,320,992,0,1
20,4,28,712704,0,4,729088,148,733600,2,28,10,2097152,0,0,0,1
21,1,84,59780,0,6,86016,188,61440,14,10,6,1048576,320,4736,0,1
22,1,84,87004,10,6,8360,165,98304,14,10,5,1048576,320,2880,0,1
23,1,84,86988,10,6,8348,165,98304,14,10,5,1048576,320,2888,0,1
24,1,84,11024,10,10,160160,189,196608,14,10,6,262144,16704,1088,0,1
25,4,84,172224,10,10,181344,192,169544,14,10,7,262144,16736,1088,0,1
26,1,0,0,0,4,0,0,8192,8,0,3,1048576,1344,952,0,1
27,1,84,119964,0,6,143360,147,122880,14,10,6,1048576,320,2032,0,1
28,1,28,4096,0,6,4128,56,0,14,10,2,1048576,1344,9076,0,1
29,4,0,0,0,4,0,0,128064,2,27,10,2097152,0,2760,0,1
30,4,28,36864,0,4,0,0,53924,2,25,9,2097152,32768,2760,0,1
31,4,28,4864,6,6,56608,182,4096,9,0,5,262144,64,1632,0,1
32,4,28,4880,6,6,59808,182,4096,9,0,5,262144,64,1632,0,1
33,4,28,4720,6,6,83296,148,4096,9,0,6,262144,64,1432,0,1
34,4,28,4864,6,6,82992,182,4096,9,0,5,262144,64,1632,0,1
35,4,28,4880,6,6,86512,182,4096,9,0,5,262144,64,1632,0,1
36,4,28,4464,6,6,83184,182,94208,11,0,6,262144,16736,1568,0,1
37,4,28,4464,6,6,83264,182,94208,11,0,6,262144,16736,1568,0,1
38,4,28,5152,6,6,196256,182,4096,9,0,5,262144,64,1632,0,1
39,4,28,5168,6,6,200464,182,4096,9,0,5,262144,64,1632,0,1
40,4,84,136416,10,10,158752,112,130680,14,10,7,262144,16736,1328,0,1
41,4,0,0,0,4,0,0,373716,2,27,10,2097152,0,2512,0,1
42,1,28,53370,1,4,32768,97,37272,2,29,11,2097152,0,0,0,1
43,4,84,13168,10,10,14992,188,12560,14,10,7,262144,16736,1040,0,1
44,4,28,718736,10,6,870608,52135,708608,12,10,7,1048576,16736,1056,0,1
45,4,0,0,0,4,0,0,319488,8,0,5,1048576,33024,784,0,1
46,4,84,45056,10,10,62112,552,41496,14,10,7,262144,16736,1376,0,1
47,1,56,115312,0,6,147072,748,114688,12,0,5,1048576,320,1504,0,1
48,1,28,8400,0,4,0,0,8192,11,0,3,1048576,34112,1064,0,1
49,4,84,123152,10,10,0,0,77824,14,10,6,524288,49504,6320,0,1
50,1,84,33584,10,10,329472,143,335872,14,10,6,262144,16704,2592,0,1
51,1,84,41188,0,6,57344,112,45056,14,10,4,1048576,320,0,0,1
52,1,0,0,0,4,0,0,107244,5,0,5,1048576,0,41640,0,1
53,1,56,74144,0,6,99936,292,73728,12,0,5,1048576,320,1488,0,1
54,1,84,21392,10,10,83632,172,90112,14,10,6,262144,16704,438488,0,1
55,4,28,1658984,0,4,1622016,58,1629428,2,30,13,2097152,320,3000,0,1
56,4,28,2646110,0,4,2609152,48,2616120,2,30,13,2097152,320,3000,0,1
57,4,0,0,1,4,0,0,7331840,3,0,5,131072,0,35744,0,1
58,4,84,38080,10,10,42416,168,33776,14,10,6,262144,16736,992,0,1
59,4,28,5072,6,6,48128,165,4096,9,0,5,262144,320,992,0,1
60,4,28,7424,6,6,0,0,4096,9,0,5,524288,33088,66880,0,1
61,1,84,10416,10,10,0,0,143360,14,10,7,262144,49600,66880,0,1
62,4,84,152544,10,10,0,0,140952,14,10,8,524288,49632,66880,0,1
63,1,28,5760,6,6,0,0,4096,9,0,4,262144,33088,66880,0,1
64,1,84,10352,10,10,157696,142,167936,14,10,6,262144,16704,500360,0,1
65,4,84,164192,10,10,193184,144,155008,14,10,7,262144,16736,500360,0,1
66,1,28,4752,6,6,69136,142,4096,9,0,4,262144,320,142280,0,1
67,4,28,5408,6,6,86912,142,4096,9,0,5,262144,320,142280,0,1
68,4,84,206896,10,10,0,0,177648,14,10,6,524288,49504,2937496,0,1
69,4,28,6928,6,6,0,0,4096,9,0,5,524288,33088,252400,0,1
70,4,84,9024,10,10,0,0,8464,14,10,6,524288,49504,1056,0,1
71,1,84,80152,0,6,118784,214,81920,14,10,5,1048576,320,1344,0,1
72,1,84,11248,10,10,57072,318,65536,14,10,5,262144,16704,1000,0,1
73,4,84,68656,10,10,79520,328,58256,14,10,6,262144,16736,1000,0,1
74,4,28,20480,0,4,0,0,70192,2,28,17,2097152,32768,1256,0,1
